wbs_code,description,tp_pos,package,building,nta_ref,status,budget_eur,target_kw,qty_total,qty_done,qty_remaining,manpower_per_day,duration_days,total_mandays,scope,responsible,payment_ref,source,level,parent_wbs,is_leaf,baseline_start,baseline_finish,baseline_working_days,baseline_total_md
1,E2NS Contract Works,,E2NS,E2NS,,,,,,,,,,,,,,,1,,False,,,,
1.0,Already Executed,,E2NS,E2NS,,DONE,382722.57,KW03,,,,,,,,,01.10,Pmt,2,1,False,,,,
1.1,E2N — Remaining Works,,E2NS,E2N,,,,,,,,,,,,,,,2,1,False,,,,
1.1.1,FT07/FT08/FT11/FT15 East,,E2NS,E2N,,,14255.01,KW11,,,,,,,,,02.11,Pmt,3,1.1,False,,,,
1.1.1.1,FT07 Punch Window East,,E2NS,E2N,,,,KW11,7,,7,,,,EXT,,,,4,1.1.1,False,,,,
1.1.1.1.1,FT-07 Glass Rotation+Gasket,1.5.0,E2NS,,,,,KW11,7,,7,3,6,18,,MYA,,TP,5,1.1.1.1,True,2026-01-19,2026-01-24,6,18
1.1.1.2,FT08 Punch Window East,,E2NS,E2N,,,,KW11,228,121,107,,,,EXT+INT,,,,4,1.1.1,False,,,,
1.1.1.2.1,E2N Courtyard Windows Inside,1.2.0,E2NS,,,,,KW11,,,,,,160,INT,,,TP,5,1.1.1.2,False,,,,
1.1.1.2.1.1,Dismantling of Drywall,1.2.1,E2NS,,,,,KW11,76,76,,10,8,66,,MYA,,TP,6,1.1.1.2.1,True,2025-12-01,2025-12-19,17,66
1.1.1.2.1.2,Application of New Membrane,1.2.2,E2NS,,,,,KW11,76,45,31,10,8,44,,MYA,,TP,6,1.1.1.2.1,True,2025-12-08,2025-12-19,11,44
1.1.1.2.1.3,Installation of New Drywall,1.2.3,E2NS,,,,,KW11,76,,76,,,,,XXX,,TP,6,1.1.1.2.1,True,,,,
1.1.1.3,FT11 East Facade,,E2NS,E2N,,,,KW11,,,,,,,,,,,4,1.1.1,False,,,,
1.1.1.4,FT15 East Remaining,,E2NS,E2N,,,,KW11,1,1,,,,,EXT,,,,4,1.1.1,False,,,,
1.1.1.4.1,E2N East Stone FT15 Detail,1.10.0,E2NS,,,,,KW11,1,1,,2,6,12,,MYA,,TP,5,1.1.1.4,True,2025-12-01,2025-12-06,6,12
1.1.2,FT15 E2N (N+W) + Terminal Cable,,E2NS,E2N,NTA060,,51428.01,KW09,,,,,,,,,02.12,Pmt,3,1.1,False,,,,
1.1.2.1,FT15 E2N North,,E2NS,E2N,,,,KW09,,,,,,,,,,,4,1.1.2,False,,,,
1.1.2.2,FT15 E2N West,,E2NS,E2N,,,,KW09,,,,,,,,,,,4,1.1.2,False,,,,
1.1.2.3,Terminal Cable Canals,,E2NS,E2N,NTA060,,,KW09,,,,,,,,,,,4,1.1.2,False,,,,
1.1.2.3.1,Terminal Cable Exec,4.1.0,E2NS,,,,,KW09,,,,,,24,,,,TP,5,1.1.2.3,False,,,,
1.1.2.3.1.1,New Design,4.1.1,E2NS,,,,,KW09,,,,,,,,MYA,,TP,6,1.1.2.3.1,True,,,,
1.1.2.3.1.2,Approval SOB/URW,4.1.2,E2NS,,,,,KW09,,,,,,,,URW,,TP,6,1.1.2.3.1,True,,,,
1.1.2.3.1.3,Procurement+Mfg,4.1.3,E2NS,,,,,KW09,10,,10,,,,,MYA,,TP,6,1.1.2.3.1,True,,,,
1.1.2.3.1.4,Installation,4.1.4,E2NS,,,,,KW09,10,,10,2,12,24,,MYA,,TP,6,1.1.2.3.1,True,,,,
1.1.3,Lochfenster E2N,,E2NS,E2N,,,22479.63,KW21,624,8,616,,,,,,02.13,Pmt,3,1.1,False,,,,
1.1.3.1,E2N Outside Windows,1.1.0,E2NS,,,,,KW21,,,,,,540,EXT,,,TP,4,1.1.3,False,,,,
1.1.3.1.1,Dismantling Drywall+Al,1.1.1,E2NS,,,,,KW21,156,8,148,2,125,248,,MYA,,TP,5,1.1.3.1,True,2025-12-08,2026-01-31,29,248
1.1.3.1.2,New Membrane,1.1.2,E2NS,,,,,KW21,156,,156,2,80,164,,MYA,,TP,5,1.1.3.1,True,2025-12-15,2026-02-14,35,164
1.1.3.1.3,Al. Sheet,1.1.3,E2NS,,,,,KW21,156,,156,2,65,132,,MYA,,TP,5,1.1.3.1,True,2026-01-19,2026-02-14,24,132
1.1.3.1.4,New Drywall,1.1.4,E2NS,,,,,KW21,156,,156,,,,,XXX,,TP,5,1.1.3.1,True,,,,
1.1.4,Türen E2N,,E2NS,E2N,,,25685.49,KW23,2,1,1,,,,,,02.14,Pmt,3,1.1,False,,,,
1.1.4.1,Hörmann Door,1.4.0,E2NS,,,,,KW23,,,,,,24,,,,TP,4,1.1.4,False,,,,
1.1.4.1.1,Steel structure,1.4.1,E2NS,,,,,KW23,1,1,,4,4,16,,MYA,,TP,5,1.1.4.1,True,,,,
1.1.4.1.2,Door,1.4.2,E2NS,,,,,KW23,1,,1,4,2,8,,MYA,,TP,5,1.1.4.1,True,2025-12-11,2025-12-12,2,8
1.1.4.2,Garage entrance Al (N),1.3.0,E2NS,,,,,KW23,1,1,,4,6,24,,MYA,,TP,4,1.1.4,True,2025-12-01,2025-12-06,6,24
1.1.5,Canopy E2N Novotel,,E2NS,E2N,,,1306.13,KW21,60,,60,,,,,,02.15,Pmt,3,1.1,False,,,,
1.1.5.1,FT-13 Canopy Al Sheet,1.8.0,E2NS,,,,,KW21,60,,60,4,6,24,,MYA,,TP,4,1.1.5,True,,,,
1.1.6,FT18 E2N (Lamellen+Acoustic),,E2NS,E2N,,,,,,,,,,,,,,,3,1.1,False,,,,
1.1.6.1,Lamellenfassade FT18,,E2NS,E2N,,,11045.64,KW15,2,,2,,,,,,02.16,Pmt,4,1.1.6,False,,,,
1.1.6.1.1,FT-18 Execution,1.12.0,E2NS,,,,,KW15,,,,,,504,,,,TP,5,1.1.6.1,False,,,,
1.1.6.1.1.1,Paint+bolt replace,1.12.1,E2NS,,,,,KW15,1,,1,10,48,480,,MYA,,TP,6,1.1.6.1.1,True,2026-02-02,2026-03-28,48,480
1.1.6.1.1.2,1141 Parcel/parapet,1.12.2,E2NS,,,,,KW15,1,,1,4,6,24,,MYA,,TP,6,1.1.6.1.1,True,2026-02-09,2026-02-14,6,24
1.1.6.2,Acoustic Panel MOS,,E2NS,E2N,NTA046,,95000,KW09,,,,,,,,,02.19,Pmt,4,1.1.6,False,,,,
1.1.6.3,Acoustic Subframe MOS,,E2NS,E2N,NTA046,,114000,KW11,,,,,,,,,02.20,Pmt,4,1.1.6,False,,,,
1.1.6.4,Acoustic Install+CatWalk,,E2NS,E2N,NTA046/047,,151496.06,KW15,,,,,,,,,02.21,Pmt,4,1.1.6,False,,,,
1.1.6.4.1,Acoustic Roof Exec,1.13.0,E2NS,,,,,KW15,,,,,,252,,,,TP,5,1.1.6.4,False,,,,
1.1.6.4.1.1,Steel Drilling+Paint,1.13.1,E2NS,,,,,KW15,1,,1,4,18,72,,MYA,,TP,6,1.1.6.4.1,True,2026-02-23,2026-03-14,18,72
1.1.6.4.1.2,Secondary Steel,1.13.2,E2NS,,,,,KW15,1,,1,4,18,72,,MYA,,TP,6,1.1.6.4.1,True,2026-03-09,2026-03-28,18,72
1.1.6.4.1.3,Modül install,1.13.3,E2NS,,,,,KW15,1,,1,6,18,108,,MYA,,TP,6,1.1.6.4.1,True,2026-03-16,2026-04-04,18,108
1.1.7,Stabgeländer E2N,,E2NS,E2N,,,,KW21,,,,,,,,,02.17,Pmt,3,1.1,False,,,,
1.1.7.1,RT02 Stabgeländer,,E2NS,E2N,,,,KW21,,,,,,,,,,,4,1.1.7,False,,,,
1.1.7.1.1,RT02 Balustrade Module,1.7.0,E2NS,,,,,KW21,2,,2,4,3,12,,MYA,,TP,5,1.1.7.1,True,2026-01-26,2026-01-28,3,12
1.1.7.2,Add. Steel Balustrade,,E2NS,E2N,NTA053,,15370,KW21,,,,,,,,,,,4,1.1.7,False,,,,
1.1.8,Attikaabdeckungen E2N,,E2NS,E2N,,,,KW21,2,,2,,,,,,02.18,Pmt,3,1.1,False,,,,
1.1.8.1,Attika Connection (E+N),1.9.0,E2NS,,,,,KW21,2,,2,2,4,12,,MYA,,TP,4,1.1.8,True,2026-01-29,2026-01-31,3,12
1.1.9,Final Cleaning E2N,,E2NS,E2N,,,,KW23,9,,9,,,,,,02.22,Pmt,3,1.1,False,,,,
1.1.9.1,Glass replacement,1.11.0,E2NS,,,,,KW23,9,,9,4,5,20,,MYA,,TP,4,1.1.9,True,,,,
1.1.10,Documentation E2N,,E2NS,E2N,,,,KW23,,,,,,,,,,,3,1.1,False,,,,
1.1.10.1,Documentation+Testing,1.14.0,E2NS,,,,,KW23,,,,,,,,,,TP,4,1.1.10,False,,,,
1.1.10.1.1,WT01,1.14.1,E2NS,,,,,KW23,,,,,,,,MYA,,TP,5,1.1.10.1,True,,,,
1.1.10.1.2,FT08,1.14.2,E2NS,,,,,KW23,,,,,,,,MYA,,TP,5,1.1.10.1,True,,,,
1.1.10.1.3,FT07,1.14.3,E2NS,,,,,KW23,,,,,,,,MYA,,TP,5,1.1.10.1,True,,,,
1.2,E2S — Remaining Works,,E2NS,E2S,,,,,,,,,,,,,,,2,1,False,,,,
1.2.1,PR-Fassade FT02/03/10/14,,E2NS,E2S,,,35683.84,KW21,,,,,,,,,04.11,Pmt,3,1.2,False,,,,
1.2.1.1,FT02,,E2NS,E2S,,,,KW21,340,334,6,,,,,,,,4,1.2.1,False,,,,
1.2.1.1.1,FT-02 Outside,,E2NS,,,,,KW21,,,,,,,EXT,,,,5,1.2.1.1,False,,,,
1.2.1.1.1.1,Zigzak West,2.1.1,E2NS,,,,,KW21,120,120,,3,1,3,,MYA,,TP,6,1.2.1.1.1,True,,,,
1.2.1.1.1.2,Zigzak South,2.1.2,E2NS,,,,,KW21,80,77,3,2,3,6,,MYA,,TP,6,1.2.1.1.1,True,,,,
1.2.1.1.1.3,Zigzak East,2.1.3,E2NS,,,,,KW21,140,137,3,2,3,6,,MYA,,TP,6,1.2.1.1.1,True,,,,
1.2.1.1.2,FT-02 Inside,,E2NS,,,,,KW21,,,,,,,INT,,,,5,1.2.1.1,False,,,,
1.2.1.1.2.1,Handle Install,4.4.1,E2NS,,,,,KW21,33,,33,3,12,36,,MYA,,TP,6,1.2.1.1.2,True,2026-04-13,2026-04-18,6,36
1.2.1.1.2.2,Silicone/Gasket,4.4.2,E2NS,,,,,KW21,255,,255,2,6,12,,MYA,,TP,6,1.2.1.1.2,True,2026-03-30,2026-04-04,6,12
1.2.1.1.2.3,Membrane Touchup,4.4.3,E2NS,,,,,KW21,79,,79,2,12,24,,MYA,,TP,6,1.2.1.1.2,True,2026-03-30,2026-04-11,12,24
1.2.1.2,FT03,,E2NS,E2S,,,,KW21,241,,241,,,,,,,,4,1.2.1,False,,,,
1.2.1.2.1,FT-03 Outside,,E2NS,,,,,KW21,,,,,,,EXT,,,,5,1.2.1.2,False,,,,
1.2.1.2.1.1,Phonotherm+Flashing,3.3.1,E2NS,,,,,KW21,107,,107,2,18,36,,MYA,,TP,6,1.2.1.2.1,True,2026-03-16,2026-04-04,18,36
1.2.1.2.1.2,Glass Pressure+Cover,3.3.2,E2NS,,,,,KW21,27,,27,5,6,30,,MYA,,TP,6,1.2.1.2.1,True,2026-03-30,2026-04-04,6,30
1.2.1.2.1.3,Al sheet console,3.3.3,E2NS,,,,,KW21,38,,38,4,24,96,,MYA,,TP,6,1.2.1.2.1,True,2026-03-02,2026-03-14,12,96
1.2.1.2.1.4,Top Attika (N),3.3.4,E2NS,,,,,KW21,39,,39,2,6,12,,MYA,,TP,6,1.2.1.2.1,True,2026-03-23,2026-04-01,6,12
1.2.1.2.1.5,Steel behind stone (S),3.3.5,E2NS,,,,,KW21,30,,30,2,6,12,,MYA,,TP,6,1.2.1.2.1,True,2026-03-23,2026-04-01,6,12
1.2.1.2.2,FT-03 Inside,,E2NS,,,,,KW21,,,,,,,INT,,,,5,1.2.1.2,False,,,,
1.2.1.2.2.1,Al sheet install,4.7.1,E2NS,,,,,KW21,107,,107,2,12,24,,MYA,,TP,6,1.2.1.2.2,True,2026-04-13,2026-04-25,12,24
1.2.1.2.2.2,Handle Install,4.7.2,E2NS,,,,,KW21,16,,16,2,6,12,,MYA,,TP,6,1.2.1.2.2,True,2026-04-20,2026-04-25,6,12
1.2.1.2.2.3,Paint Touch up,4.7.3,E2NS,,,,,KW21,107,,107,2,24,48,,MYA,,TP,6,1.2.1.2.2,True,2026-03-30,2026-04-25,24,48
1.2.1.2.3,FT03 Acoustic Inside,,E2NS,,,,,KW21,,,,,,,INT,,,,5,1.2.1.2,False,,,,
1.2.1.2.3.1,Mock-up,4.10.1,E2NS,,,,,KW21,1,1,,2,2,4,,MYA,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.2,Acoustic Testing,4.10.2,E2NS,,,,,KW21,1,,1,2,1,2,,MYA,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.3,Approval SOB/DSI/URW,4.10.3,E2NS,,,,,KW21,,,,,,,,URW,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.4,Procurement+Mfg,4.10.4,E2NS,,,,,KW21,20,,20,,,,,MYA,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.5,Installation,4.10.5,E2NS,,,,,KW21,20,,20,2,18,36,,MYA,,TP,6,1.2.1.2.3,True,2026-04-27,2026-05-02,6,36
1.2.1.3,FT10,,E2NS,E2S,,,,KW21,,,,,,,,,,,4,1.2.1,False,,,,
1.2.1.4,FT14 Inside,,E2NS,E2S,,,,KW21,,,,,,,INT,,,,4,1.2.1,False,,,,
1.2.1.4.1,Al sheet install,4.5.1,E2NS,,,,,KW21,43,,43,2,6,12,,MYA,,TP,5,1.2.1.4,True,2026-04-20,2026-04-25,6,12
1.2.1.4.2,Handle Install,4.5.2,E2NS,,,,,KW21,43,,43,2,6,12,,MYA,,TP,5,1.2.1.4,True,2026-04-20,2026-04-25,6,12
1.2.2,PR-Fassade FT05/06/09+Interkom,,E2NS,E2S,NTA063,,55655.92,KW15,,,,,,,,,04.12,Pmt,3,1.2,False,,,,
1.2.2.1,FT05,,E2NS,E2S,,,,KW15,17,4,13,,,,,,,,4,1.2.2,False,,,,
1.2.2.1.1,FT-05 Outside,,E2NS,,,,,KW15,,,,,,,EXT,,,,5,1.2.2.1,False,,,,
1.2.2.1.1.1,Glass install,2.3.1,E2NS,,,,,KW15,5,,5,4,3,12,,MYA,,TP,6,1.2.2.1.1,True,2026-02-02,2026-02-04,3,12
1.2.2.1.1.2,Membrane Big,2.3.2,E2NS,,,,,KW15,6,,6,3,30,81,,MYA,,TP,6,1.2.2.1.1,True,2026-01-12,2026-01-31,18,81
1.2.2.1.1.3,Membrane Small,2.3.3,E2NS,,,,,KW15,6,4,2,3,18,27,,MYA,,TP,6,1.2.2.1.1,True,2026-01-19,2026-01-28,9,27
1.2.2.1.2,FT-05 Inside,,E2NS,,,,,KW15,,,,,,,INT,,,,5,1.2.2.1,False,,,,
1.2.2.1.2.1,Membrane Ctrl+Rect,4.6.1,E2NS,,,,,KW15,18,,18,2,12,24,,MYA,,TP,6,1.2.2.1.2,True,2026-04-13,2026-04-25,12,24
1.2.2.2,FT06 Inside,,E2NS,E2S,,,,KW15,,,,,,,INT,,,,4,1.2.2,False,,,,
1.2.2.2.1,Mock-up,4.9.1,E2NS,,,,,KW15,1,1,,2,2,4,,MYA,,TP,5,1.2.2.2,True,,,,
1.2.2.2.2,Approval SOB/DSI/URW,4.9.2,E2NS,,,,,KW15,,,,,,,,URW,,TP,5,1.2.2.2,True,,,,
1.2.2.2.3,Procurement+Mfg,4.9.3,E2NS,,,,,KW15,18,,18,,,,,MYA,,TP,5,1.2.2.2,True,,,,
1.2.2.2.4,Installation,4.9.4,E2NS,,,,,KW15,18,,18,4,18,72,,MYA,,TP,5,1.2.2.2,True,2026-04-06,2026-04-25,18,72
1.2.2.3,FT09,,E2NS,E2S,,,,KW15,,,,,,,,,,,4,1.2.2,False,,,,
1.2.2.4,Interkom Glass,,E2NS,E2S,NTA063,,,KW15,6,,6,,,,,,,,4,1.2.2,False,,,,
1.2.2.4.1,Interkom Glasses,2.11.0,E2NS,,,,,KW15,6,,6,4,6,24,,MYA,,TP,5,1.2.2.4,True,,,,
1.2.3,Lochfenster WT04,,E2NS,E2S,,,47907.39,KW13,,,,,,,,,04.13,Pmt,3,1.2,False,,,,
1.2.3.1,WT-04 Outside,,E2NS,,,,,KW13,,,,,,,EXT,,,,4,1.2.3,False,,,,
